# gathered 2026-09-04T10:46:16.524569+00:00
table|model_class|module
coach_sessions|CoachSession|app.models.coach_session
trades|Trade|app.models.trade
trading_sessions|TradingSession|app.models.trading_session
behavioral_events|BehavioralEvent|app.models.behavioral_event
monthly_snapshots|MonthlySnapshot|app.models.monthly_snapshot
orders|Order|app.models.order
portfolio_chat_sessions|PortfolioChatSession|app.models.portfolio_chat_session
risk_alerts|RiskAlert|app.models.risk_alert
alert_checkpoints|AlertCheckpoint|app.models.alert_checkpoint
incomplete_positions|IncompletePosition|app.models.incomplete_position
data_quality_events|DataQualityEvent|app.models.data_quality_event
broadcast_logs|BroadcastLog|app.models.broadcast_log
user_profiles|UserProfile|app.models.user_profile
generated_reports|GeneratedReport|app.models.generated_report
commitment_logs|CommitmentLog|app.models.goal
guardrail_rules|GuardrailRule|app.models.guardrail_rule
strategy_groups|StrategyGroup|app.models.strategy_group
behavior_events|BehaviorEvent|app.models.behavior_event
alert_mutes|AlertMute|app.models.alert_mute
instruments|Instrument|app.models.instrument
journal_entries|JournalEntry|app.models.journal_entry
broker_accounts|BrokerAccount|app.models.broker_account
constitution_history|ConstitutionHistory|app.models.constitution_history
completed_trades|CompletedTrade|app.models.completed_trade
users|User|app.models.user
broadcast_receipts|BroadcastReceipt|app.models.broadcast_log
margin_snapshots|MarginSnapshot|app.models.margin_snapshot
streak_data|StreakData|app.models.goal
admin_users|AdminUser|app.models.admin_user
strategy_group_legs|StrategyGroupLeg|app.models.strategy_group
positions|Position|app.models.position
position_ledger|PositionLedger|app.models.position_ledger
cooldowns|Cooldown|app.models.cooldown
push_subscriptions|PushSubscription|app.models.push_subscription
completed_trade_features|CompletedTradeFeature|app.models.completed_trade_feature
holdings|Holding|app.models.holding
position_margin_observations|PositionMarginObservation|app.models.position_margin_observation
admin_audit_log|AdminAuditLog|app.models.admin_audit_log
trading_goals|Goal|app.models.goal
