# gathered 2026-09-04T10:46:16.525779+00:00
table|column|type|nullable|pk|default|server_default|fk_targets
admin_audit_log|id|UUID|False|True|<function uuid4 at 0x00000289B995FA00>||
admin_audit_log|admin_email|VARCHAR(255)|False|False|||
admin_audit_log|action|VARCHAR(100)|False|False|||
admin_audit_log|target_type|VARCHAR(50)|True|False|||
admin_audit_log|target_id|VARCHAR(255)|True|False|||
admin_audit_log|details|JSONB|True|False|||
admin_audit_log|created_at|DATETIME|True|False||now()|
admin_users|id|UUID|False|True|<function uuid4 at 0x00000289B995F5E0>||
admin_users|email|VARCHAR(255)|False|False|||
admin_users|password_hash|VARCHAR(255)|False|False|||
admin_users|name|VARCHAR(255)|False|False|||
admin_users|role|VARCHAR(50)|False|False|superadmin||
admin_users|is_active|BOOLEAN|True|False|True||
admin_users|totp_secret_enc|TEXT|True|False|||
admin_users|created_at|DATETIME|True|False|||
admin_users|last_login_at|DATETIME|True|False|||
admin_users|session_epoch|INTEGER|False|False|0|0|
admin_users|must_change_password|BOOLEAN|False|False|False|false|
admin_users|totp_required|BOOLEAN|False|False|False|false|
admin_users|created_by|VARCHAR(255)|True|False|||
alert_checkpoints|id|UUID|False|True|<function uuid4 at 0x00000289B98A3B60>||
alert_checkpoints|alert_id|UUID|False|False|||risk_alerts.id
alert_checkpoints|broker_account_id|UUID|False|False|||broker_accounts.id
alert_checkpoints|positions_snapshot|JSONB|True|False|<function list at 0x00000289B98A3AB0>||
alert_checkpoints|total_unrealized_pnl|NUMERIC(15, 4)|True|False|0||
alert_checkpoints|prices_at_t5|JSONB|True|False|||
alert_checkpoints|pnl_at_t5|NUMERIC(15, 4)|True|False|||
alert_checkpoints|checked_at_t5|DATETIME|True|False|||
alert_checkpoints|prices_at_t30|JSONB|True|False|||
alert_checkpoints|pnl_at_t30|NUMERIC(15, 4)|True|False|||
alert_checkpoints|checked_at_t30|DATETIME|True|False|||
alert_checkpoints|prices_at_t60|JSONB|True|False|||
alert_checkpoints|pnl_at_t60|NUMERIC(15, 4)|True|False|||
alert_checkpoints|checked_at_t60|DATETIME|True|False|||
alert_checkpoints|user_actual_pnl|NUMERIC(15, 4)|True|False|||
alert_checkpoints|money_saved|NUMERIC(15, 4)|True|False|||
alert_checkpoints|calculation_status|VARCHAR(20)|False|False|pending||
alert_checkpoints|created_at|DATETIME|False|False|<function AlertCheckpoint.<lambda> at 0x||
alert_mutes|broker_account_id|UUID|False|True|||broker_accounts.id
alert_mutes|pattern_type|VARCHAR|False|True|||
alert_mutes|created_at|DATETIME|True|False|<function AlertMute.<lambda> at 0x000002||
behavior_events|id|UUID|False|True|<function uuid4 at 0x00000289B98A2CF0>||
behavior_events|broker_account_id|UUID|False|False|||broker_accounts.id
behavior_events|detector|VARCHAR(60)|False|False|||
behavior_events|detector_version|VARCHAR(20)|False|False|||
behavior_events|severity|VARCHAR(10)|False|False|||
behavior_events|confidence|NUMERIC(5, 2)|True|False|||
behavior_events|data_quality|VARCHAR(10)|False|False|GOOD||
behavior_events|message|TEXT|False|False|||
behavior_events|evidence|JSONB|True|False|||
behavior_events|input_snapshot|JSONB|True|False|||
behavior_events|trigger_completed_trade_id|UUID|True|False|||completed_trades.id
behavior_events|risk_alert_id|UUID|True|False|||risk_alerts.id
behavior_events|idempotency_key|TEXT|True|False|||
behavior_events|shadow|BOOLEAN|False|False|False|false|
behavior_events|detected_at|TIMESTAMP|False|False|||
behavior_events|created_at|TIMESTAMP|True|False||now()|
behavioral_events|id|UUID|False|True|<function uuid4 at 0x00000289B98A2400>||
behavioral_events|broker_account_id|UUID|False|False|||broker_accounts.id
behavioral_events|event_type|VARCHAR(50)|False|False|||
behavioral_events|severity|VARCHAR(10)|False|False|||
behavioral_events|confidence|NUMERIC(3, 2)|False|False|||
behavioral_events|trigger_trade_id|UUID|True|False|||trades.id
behavioral_events|trigger_position_key|VARCHAR(200)|True|False|||
behavioral_events|message|TEXT|False|False|||
behavioral_events|context|JSONB|True|False|||
behavioral_events|session_id|UUID|True|False|||trading_sessions.id
behavioral_events|risk_score_at_event|NUMERIC(5, 2)|True|False|||
behavioral_events|account_equity_at_event|NUMERIC(15, 4)|True|False|||
behavioral_events|position_exposure_at_event|NUMERIC(15, 4)|True|False|||
behavioral_events|detected_at|TIMESTAMP|False|False||now()|
behavioral_events|delivery_status|VARCHAR(20)|True|False|PENDING||
behavioral_events|acknowledged_at|TIMESTAMP|True|False|||
behavioral_events|created_at|TIMESTAMP|True|False||now()|
broadcast_logs|id|UUID|False|True|<function uuid4 at 0x00000289B99FDB10>||
broadcast_logs|created_by|VARCHAR(255)|False|False|||
broadcast_logs|segment|VARCHAR(50)|False|False|||
broadcast_logs|message|TEXT|False|False|||
broadcast_logs|total|INTEGER|False|False|0||
broadcast_logs|sent|INTEGER|False|False|0||
broadcast_logs|failed|INTEGER|False|False|0||
broadcast_logs|created_at|DATETIME|True|False|||
broadcast_receipts|id|UUID|False|True|<function uuid4 at 0x00000289B99FE350>||
broadcast_receipts|broadcast_id|UUID|False|False|||
broadcast_receipts|phone|VARCHAR(20)|False|False|||
broadcast_receipts|status|VARCHAR(20)|False|False|queued||
broadcast_receipts|error|TEXT|True|False|||
broadcast_receipts|sent_at|DATETIME|True|False|||
broker_accounts|id|UUID|False|True|<function uuid4 at 0x00000289B86D7CC0>||
broker_accounts|user_id|UUID|False|False|||users.id
broker_accounts|broker_name|VARCHAR|False|False|zerodha||
broker_accounts|access_token|VARCHAR|True|False|||
broker_accounts|refresh_token|VARCHAR|True|False|||
broker_accounts|api_key|VARCHAR|True|False|||
broker_accounts|api_secret_enc|VARCHAR|True|False|||
broker_accounts|status|VARCHAR|False|False|||
broker_accounts|connected_at|TIMESTAMP|True|False|||
broker_accounts|last_sync_at|TIMESTAMP|True|False|||
broker_accounts|broker_user_id|VARCHAR|True|False|||
broker_accounts|broker_email|VARCHAR|True|False|||
broker_accounts|user_type|VARCHAR(20)|True|False|||
broker_accounts|exchanges|ARRAY|True|False|||
broker_accounts|products|ARRAY|True|False|||
broker_accounts|order_types|ARRAY|True|False|||
broker_accounts|meta|JSONB|True|False|{}||
broker_accounts|avatar_url|VARCHAR|True|False|||
broker_accounts|demat_consent|BOOLEAN|False|False|False||
broker_accounts|sync_status|VARCHAR(20)|False|False|pending||
broker_accounts|token_revoked_at|TIMESTAMP|True|False|||
broker_accounts|created_at|TIMESTAMP|False|False||now()|
broker_accounts|updated_at|TIMESTAMP|False|False||now()|
coach_sessions|id|UUID|False|True|<function uuid4 at 0x00000289B995D2D0>||
coach_sessions|broker_account_id|UUID|False|False|||broker_accounts.id
coach_sessions|messages|JSONB|False|False|<function list at 0x00000289B995D430>||
coach_sessions|summary|VARCHAR|True|False|||
coach_sessions|started_at|TIMESTAMP|False|False||now()|
coach_sessions|ended_at|TIMESTAMP|True|False|||
coach_sessions|created_at|TIMESTAMP|False|False||now()|
commitment_logs|id|UUID|False|True|<function uuid4 at 0x00000289B976F950>||
commitment_logs|broker_account_id|UUID|False|False|||broker_accounts.id
commitment_logs|log_type|VARCHAR(50)|False|False|||
commitment_logs|description|TEXT|False|False|||
commitment_logs|reason|TEXT|True|False|||
commitment_logs|cost|FLOAT|True|False|||
commitment_logs|timestamp|DATETIME|True|False|<function CommitmentLog.<lambda> at 0x00||
completed_trade_features|id|UUID|False|True|<function uuid4 at 0x00000289B98A1640>||
completed_trade_features|completed_trade_id|UUID|False|False|||completed_trades.id
completed_trade_features|broker_account_id|UUID|False|False|||broker_accounts.id
completed_trade_features|holding_duration_minutes|INTEGER|True|False|||
completed_trade_features|entry_hour_ist|INTEGER|True|False|||
completed_trade_features|exit_hour_ist|INTEGER|True|False|||
completed_trade_features|entry_day_of_week|INTEGER|True|False|||
completed_trade_features|is_expiry_day|BOOLEAN|True|False|False||
completed_trade_features|size_relative_to_avg|NUMERIC(10, 4)|True|False|||
completed_trade_features|is_scaled_entry|BOOLEAN|True|False|False||
completed_trade_features|is_scaled_exit|BOOLEAN|True|False|False||
completed_trade_features|entry_after_loss|BOOLEAN|True|False|False||
completed_trade_features|consecutive_loss_count|INTEGER|True|False|0||
completed_trade_features|session_pnl_at_entry|NUMERIC(15, 4)|True|False|0||
completed_trade_features|minutes_since_last_round|INTEGER|True|False|||
completed_trade_features|is_winner|BOOLEAN|True|False|False||
completed_trade_features|pnl_per_unit|NUMERIC(15, 4)|True|False|||
completed_trade_features|created_at|TIMESTAMP|True|False||now()|
completed_trades|id|UUID|False|True|<function uuid4 at 0x00000289B98A1220>||
completed_trades|broker_account_id|UUID|False|False|||broker_accounts.id
completed_trades|tradingsymbol|VARCHAR(100)|False|False|||
completed_trades|exchange|VARCHAR(20)|False|False|||
completed_trades|instrument_type|VARCHAR(20)|True|False|||
completed_trades|product|VARCHAR(20)|True|False|||
completed_trades|direction|VARCHAR(10)|True|False|||
completed_trades|total_quantity|INTEGER|True|False|||
completed_trades|num_entries|INTEGER|True|False|1||
completed_trades|num_exits|INTEGER|True|False|1||
completed_trades|avg_entry_price|NUMERIC(15, 4)|True|False|||
completed_trades|avg_exit_price|NUMERIC(15, 4)|True|False|||
completed_trades|realized_pnl|NUMERIC(15, 4)|True|False|||
completed_trades|pnl_pct|NUMERIC(8, 2)|True|False|||
completed_trades|quality_score|INTEGER|True|False|||
completed_trades|entry_time|TIMESTAMP|True|False|||
completed_trades|exit_time|TIMESTAMP|True|False|||
completed_trades|duration_minutes|INTEGER|True|False|||
completed_trades|closed_by_flip|BOOLEAN|True|False|False||
completed_trades|entry_trade_ids|ARRAY|True|False|||
completed_trades|exit_trade_ids|ARRAY|True|False|||
completed_trades|overnight_close_price|NUMERIC(15, 4)|True|False|||
completed_trades|status|VARCHAR(20)|True|False|closed||
completed_trades|created_at|TIMESTAMP|True|False||now()|
completed_trades|updated_at|TIMESTAMP|True|False||now()|
constitution_history|id|UUID|False|True|<function uuid4 at 0x00000289B98A3270>||
constitution_history|broker_account_id|UUID|False|False|||broker_accounts.id
constitution_history|changed_at|TIMESTAMP|False|False||now()|
constitution_history|change_type|VARCHAR(20)|False|False|||
constitution_history|changes|JSONB|False|False|||
constitution_history|effective_at|TIMESTAMP|False|False|||
constitution_history|during_market_hours|BOOLEAN|False|False|False||
constitution_history|override_flag|BOOLEAN|False|False|False||
