# gathered 2026-09-04T10:46:16.537825+00:00
table|kind|name|columns
admin_audit_log|PK||id
admin_audit_log|Index|ix_admin_audit_log_action|action
admin_audit_log|Index|ix_admin_audit_log_admin_email|admin_email
admin_users|PK||id
admin_users|Index|ix_admin_users_email|email
alert_checkpoints|PK||id
alert_checkpoints|ForeignKeyConstraint||broker_account_id
alert_checkpoints|ForeignKeyConstraint||alert_id
alert_checkpoints|Index|idx_ac_broker_created|broker_account_id,created_at
alert_checkpoints|Index|idx_ac_alert_id|alert_id
alert_mutes|PK||broker_account_id,pattern_type
alert_mutes|ForeignKeyConstraint||broker_account_id
behavior_events|PK||id
behavior_events|ForeignKeyConstraint||risk_alert_id
behavior_events|ForeignKeyConstraint||trigger_completed_trade_id
behavior_events|ForeignKeyConstraint||broker_account_id
behavior_events|Index|idx_behavior_events_broker_detected|broker_account_id,detected_at
behavior_events|Index|idx_behavior_events_detector|detector,detected_at
behavioral_events|PK||id
behavioral_events|CheckConstraint|chk_behavioral_events_confidence|
behavioral_events|ForeignKeyConstraint||session_id
behavioral_events|ForeignKeyConstraint||broker_account_id
behavioral_events|ForeignKeyConstraint||trigger_trade_id
behavioral_events|Index|ix_behavioral_events_broker_account_id|broker_account_id
broadcast_logs|PK||id
broadcast_receipts|PK||id
broker_accounts|PK||id
broker_accounts|ForeignKeyConstraint||user_id
broker_accounts|Index|idx_broker_accounts_user_id|user_id
coach_sessions|PK||id
coach_sessions|ForeignKeyConstraint||broker_account_id
coach_sessions|Index|ix_coach_sessions_broker_account_id|broker_account_id
commitment_logs|PK||id
commitment_logs|ForeignKeyConstraint||broker_account_id
completed_trade_features|PK||id
completed_trade_features|UniqueConstraint||completed_trade_id
completed_trade_features|ForeignKeyConstraint||completed_trade_id
completed_trade_features|ForeignKeyConstraint||broker_account_id
completed_trade_features|Index|ix_completed_trade_features_broker_account_id|broker_account_id
completed_trades|PK||id
completed_trades|ForeignKeyConstraint||broker_account_id
completed_trades|Index|idx_completed_trades_broker_exit|broker_account_id,exit_time
constitution_history|PK||id
constitution_history|ForeignKeyConstraint||broker_account_id
constitution_history|Index|idx_constitution_history_broker|broker_account_id,changed_at
cooldowns|PK||id
cooldowns|ForeignKeyConstraint||broker_account_id
cooldowns|Index|ix_cooldowns_broker_account_id|broker_account_id
data_quality_events|PK||id
data_quality_events|ForeignKeyConstraint||broker_account_id
data_quality_events|Index|ix_data_quality_events_broker_account_id|broker_account_id
generated_reports|PK||id
generated_reports|ForeignKeyConstraint||broker_account_id
generated_reports|Index|ix_generated_reports_broker_account_id|broker_account_id
guardrail_rules|PK||id
guardrail_rules|ForeignKeyConstraint||broker_account_id
guardrail_rules|Index|ix_guardrail_rules_broker_account_id|broker_account_id
holdings|PK||id
holdings|ForeignKeyConstraint||broker_account_id
holdings|Index|ix_holdings_broker_account_id|broker_account_id
incomplete_positions|PK||id
incomplete_positions|ForeignKeyConstraint||broker_account_id
incomplete_positions|Index|ix_incomplete_positions_broker_account_id|broker_account_id
instruments|PK||id
instruments|Index|ix_instruments_instrument_token|instrument_token
journal_entries|PK||id
journal_entries|ForeignKeyConstraint||broker_account_id
journal_entries|Index|ix_journal_entries_broker_account_id|broker_account_id
journal_entries|Index|ix_journal_entries_trade_id|trade_id
margin_snapshots|PK||id
margin_snapshots|ForeignKeyConstraint||broker_account_id
margin_snapshots|Index|ix_margin_snapshots_broker_account_id|broker_account_id
monthly_snapshots|PK||id
monthly_snapshots|ForeignKeyConstraint||broker_account_id
monthly_snapshots|UniqueConstraint|uq_monthly_snapshot_account_month|broker_account_id,month
orders|PK||id,order_timestamp
orders|ForeignKeyConstraint||broker_account_id
orders|UniqueConstraint|uq_orders_account_kite_id|broker_account_id,kite_order_id,order_timestamp
orders|Index|ix_orders_broker_account_id|broker_account_id
portfolio_chat_sessions|PK||id
portfolio_chat_sessions|ForeignKeyConstraint||broker_account_id
portfolio_chat_sessions|Index|ix_portfolio_chat_sessions_broker_account_id|broker_account_id
position_ledger|PK||id
position_ledger|ForeignKeyConstraint||session_id
position_ledger|ForeignKeyConstraint||broker_account_id
position_ledger|UniqueConstraint||idempotency_key
position_ledger|Index|ix_position_ledger_broker_account_id|broker_account_id
position_margin_observations|PK||id
position_margin_observations|ForeignKeyConstraint||broker_account_id
position_margin_observations|Index|ix_position_margin_observations_broker_account_id|broker_account_id
positions|PK||id
positions|ForeignKeyConstraint||broker_account_id
positions|UniqueConstraint|uq_position_account_symbol_exchange_product|broker_account_id,tradingsymbol,exchange,product
positions|Index|ix_positions_broker_account_id|broker_account_id
push_subscriptions|PK||id
push_subscriptions|ForeignKeyConstraint||broker_account_id
push_subscriptions|UniqueConstraint||endpoint
push_subscriptions|Index|ix_push_subscriptions_broker_account_id|broker_account_id
risk_alerts|PK||id
risk_alerts|ForeignKeyConstraint||broker_account_id
risk_alerts|ForeignKeyConstraint||trigger_trade_id
risk_alerts|ForeignKeyConstraint||trigger_completed_trade_id
risk_alerts|Index|idx_risk_alerts_broker_detected|broker_account_id,detected_at
strategy_group_legs|PK||id
strategy_group_legs|ForeignKeyConstraint||strategy_group_id
strategy_group_legs|ForeignKeyConstraint||completed_trade_id
strategy_group_legs|Index|ix_strategy_group_legs_completed_trade_id|completed_trade_id
strategy_group_legs|Index|ix_strategy_group_legs_strategy_group_id|strategy_group_id
strategy_groups|PK||id
strategy_groups|ForeignKeyConstraint||broker_account_id
strategy_groups|Index|ix_strategy_groups_broker_account_id|broker_account_id
streak_data|PK||id
streak_data|UniqueConstraint||broker_account_id
streak_data|ForeignKeyConstraint||broker_account_id
trades|PK||id
trades|ForeignKeyConstraint||broker_account_id
trades|UniqueConstraint|uq_trades_broker_order|broker_account_id,order_id
trades|Index|ix_trades_broker_account_id|broker_account_id
trades|Index|ix_trades_order_id|order_id
trades|Index|ix_trades_kite_order_id|kite_order_id
trading_goals|PK||id
trading_goals|ForeignKeyConstraint||broker_account_id
trading_goals|UniqueConstraint||broker_account_id
trading_sessions|PK||id
trading_sessions|ForeignKeyConstraint||broker_account_id
trading_sessions|CheckConstraint|chk_session_state|
trading_sessions|UniqueConstraint|uq_trading_session_account_date|broker_account_id,session_date
trading_sessions|Index|ix_trading_sessions_broker_account_id|broker_account_id
user_profiles|PK||id
user_profiles|ForeignKeyConstraint||broker_account_id
user_profiles|Index|ix_user_profiles_broker_account_id|broker_account_id
users|PK||id
users|Index|ix_users_email|email
