# gathered 2026-09-04T10:46:24.519707+00:00
methods|path|name|endpoint_module
GET,HEAD|/openapi.json|openapi|fastapi.applications
GET,HEAD|/docs|swagger_ui_html|fastapi.applications
GET,HEAD|/docs/oauth2-redirect|swagger_ui_redirect|fastapi.applications
GET,HEAD|/redoc|redoc_html|fastapi.applications
GET|/health|health_check|app.main
GET|/|root|app.main
POST|/api/zerodha/auth/exchange|exchange_auth_code|app.api.zerodha
GET|/api/zerodha/connect|connect_zerodha|app.api.zerodha
GET|/api/zerodha/callback|zerodha_callback|app.api.zerodha
GET|/api/zerodha/test|test_zerodha_config|app.api.zerodha
GET|/api/zerodha/metrics|get_metrics|app.api.zerodha
POST|/api/zerodha/metrics/reset|reset_metrics|app.api.zerodha
GET|/api/zerodha/health|health_check|app.api.zerodha
GET|/api/zerodha/status|get_broker_status|app.api.zerodha
POST|/api/zerodha/disconnect|disconnect_broker|app.api.zerodha
GET|/api/zerodha/accounts|list_broker_accounts|app.api.zerodha
GET|/api/zerodha/margins|get_margins|app.api.zerodha
GET|/api/zerodha/holdings|get_holdings|app.api.zerodha
GET|/api/zerodha/order-analytics|get_order_analytics|app.api.zerodha
POST|/api/zerodha/instruments/refresh|refresh_instruments|app.api.zerodha
GET|/api/zerodha/instruments/search|search_instruments|app.api.zerodha
GET|/api/zerodha/orders/history/{order_id}|get_order_history|app.api.zerodha
POST|/api/zerodha/sync/orders|sync_orders|app.api.zerodha
POST|/api/zerodha/sync/holdings|sync_holdings|app.api.zerodha
POST|/api/zerodha/sync/all|sync_all_data|app.api.zerodha
POST|/api/zerodha/stream/start|start_stream|app.api.zerodha
POST|/api/zerodha/stream/stop|stop_stream|app.api.zerodha
POST|/api/zerodha/margins/check-order|check_margin_for_order|app.api.zerodha
GET|/api/zerodha/margins/insights|get_margin_insights|app.api.zerodha
GET|/api/zerodha/token/validate|validate_token|app.api.zerodha
GET|/api/zerodha/token/status|get_all_token_status|app.api.zerodha
GET|/api/zerodha/accounts/needing-reauth|get_accounts_needing_reauth|app.api.zerodha
POST|/api/trades/sync|sync_trades|app.api.trades
GET|/api/trades/|list_trades|app.api.trades
GET|/api/trades/stats|get_trade_stats|app.api.trades
GET|/api/trades/completed|list_completed_trades|app.api.trades
GET|/api/trades/closed-summary|closed_summary|app.api.trades
GET|/api/trades/incomplete|list_incomplete_positions|app.api.trades
GET|/api/trades/{trade_id}|get_trade|app.api.trades
GET|/api/positions/|get_positions|app.api.positions
GET|/api/positions/structures|get_open_structures|app.api.positions
GET|/api/positions/exposure|get_exposure_metrics|app.api.positions
POST|/api/webhooks/zerodha/postback|zerodha_postback|app.api.webhooks
GET|/api/risk/patterns|get_pattern_catalogue|app.api.risk
GET|/api/risk/patterns/{pattern_type}/my-record|get_pattern_my_record|app.api.risk
GET|/api/risk/state|get_risk_state|app.api.risk
GET|/api/risk/alerts|get_risk_alerts|app.api.risk
POST|/api/risk/alerts/{alert_id}/acknowledge|acknowledge_alert|app.api.risk
POST|/api/risk/alerts/acknowledge-all|acknowledge_all_alerts|app.api.risk
POST|/api/risk/alerts/{alert_id}/feedback|submit_alert_feedback|app.api.risk
GET|/api/risk/mutes|list_mutes|app.api.risk
POST|/api/risk/mutes|add_mute|app.api.risk
DELETE|/api/risk/mutes/{pattern_type}|remove_mute|app.api.risk
GET|/api/risk/alert-response-stats|alert_response_stats|app.api.risk
POST|/api/alerts/test|send_test_alert|app.api.alerts
POST|/api/settings/guardian|update_guardian_settings|app.api.settings
GET|/api/analytics/risk-score|get_weekly_risk_score|app.api.analytics
GET|/api/analytics/dashboard-stats|get_dashboard_stats|app.api.analytics
POST|/api/analytics/recalculate-pnl|recalculate_pnl|app.api.analytics
GET|/api/analytics/unrealized-pnl|get_unrealized_pnl|app.api.analytics
GET|/api/analytics/progress|get_progress_tracking|app.api.analytics
GET|/api/analytics/overview|get_analytics_overview|app.api.analytics
GET|/api/analytics/performance|get_analytics_performance|app.api.analytics
GET|/api/analytics/risk-metrics|get_analytics_risk_metrics|app.api.analytics
GET|/api/analytics/journal-correlation|get_journal_correlation|app.api.analytics
GET|/api/analytics/ai-insights|get_ai_insights|app.api.analytics
GET|/api/analytics/ai-summary|get_ai_summary|app.api.analytics
GET|/api/analytics/edge-confidence|get_edge_confidence|app.api.analytics
