# regenerated 2026-09-04T10:47:29Z
table|model|app|scripts|tests|frontend
admin_audit_log|AdminAuditLog|6|0|0|0
admin_login_events|NONE|2|0|0|0
admin_settings|NONE|16|0|6|0
admin_users|AdminUser|3|0|1|0
alert_checkpoints|AlertCheckpoint|1|0|12|0
alert_mutes|AlertMute|1|0|1|0
behavior_events|BehaviorEvent|22|11|30|2
behavior_events_legacy|NONE|0|1|0|0
behavioral_events|BehavioralEvent|7|5|3|0
broadcast_logs|BroadcastLog|3|0|0|0
broadcast_receipts|BroadcastReceipt|3|0|0|0
broker_accounts|BrokerAccount|38|25|31|0
coach_sessions|CoachSession|1|0|0|0
commitment_logs|CommitmentLog|1|0|2|0
completed_trade_features|CompletedTradeFeature|2|1|6|0
completed_trades|CompletedTrade|52|25|25|1
constitution_history|ConstitutionHistory|10|0|0|1
cooldowns|Cooldown|36|24|9|2
data_quality_events|DataQualityEvent|10|0|1|0
detector_flags|NONE|22|0|2|0
discipline_scores|NONE|0|0|0|0
discipline_streaks|NONE|2|0|0|0
generated_reports|GeneratedReport|1|0|0|0
gtt_tracking|NONE|13|0|4|0
guardrail_rules|GuardrailRule|4|0|0|0
holdings|Holding|92|0|3|28
incomplete_positions|IncompletePosition|2|0|2|0
instruments|Instrument|127|5|13|58
journal_entries|JournalEntry|10|1|3|1
margin_snapshots|MarginSnapshot|4|0|5|0
monthly_snapshots|MonthlySnapshot|8|0|6|0
oauth_temp_store|NONE|6|0|0|0
orders|Order|211|16|137|25
portfolio_chat_sessions|PortfolioChatSession|2|0|0|0
position_alerts_sent|NONE|2|0|0|0
position_ledger|PositionLedger|22|12|20|0
position_margin_observations|PositionMarginObservation|5|0|2|0
positions|Position|462|150|163|129
push_subscriptions|PushSubscription|3|0|5|0
risk_alerts|RiskAlert|17|17|24|6
schema_migrations|NONE|0|15|9|0
shadow_behavioral_events|NONE|0|5|0|0
strategy_group_legs|StrategyGroupLeg|2|0|0|0
strategy_groups|StrategyGroup|2|2|0|0
streak_data|StreakData|1|0|3|0
trades|Trade|1680|372|740|867
trading_goals|Goal|1|0|3|0
trading_sessions|TradingSession|10|5|2|1
user_profiles|UserProfile|4|4|3|0
users|User|102|32|43|65
