# gathered 2026-09-04T10:45:39.802009+00:00
table|pos|column|type|nullable|default|charlen|numprec|numscale|dtprec
admin_audit_log|1|id|uuid|NO|gen_random_uuid()||||
admin_audit_log|2|admin_email|character varying|NO||255|||
admin_audit_log|3|action|character varying|NO||100|||
admin_audit_log|4|target_type|character varying|YES||50|||
admin_audit_log|5|target_id|character varying|YES||255|||
admin_audit_log|6|details|jsonb|YES|||||
admin_audit_log|7|created_at|timestamp with time zone|YES|now()||||6
admin_login_events|1|id|uuid|NO|gen_random_uuid()||||
admin_login_events|2|admin_id|uuid|NO|||||
admin_login_events|3|admin_email|text|NO|||||
admin_login_events|4|ip|text|YES|||||
admin_login_events|5|user_agent|text|YES|||||
admin_login_events|6|method|text|NO|||||
admin_login_events|7|created_at|timestamp with time zone|NO|now()||||6
admin_settings|1|key|text|NO|||||
admin_settings|2|value|jsonb|NO|||||
admin_settings|3|updated_by|text|YES|||||
admin_settings|4|updated_at|timestamp with time zone|NO|now()||||6
admin_users|1|id|uuid|NO|gen_random_uuid()||||
admin_users|2|email|character varying|NO||255|||
admin_users|3|password_hash|character varying|NO||255|||
admin_users|4|name|character varying|NO||255|||
admin_users|5|is_active|boolean|YES|true||||
admin_users|6|created_at|timestamp with time zone|YES|now()||||6
admin_users|7|last_login_at|timestamp with time zone|YES|||||6
admin_users|8|role|character varying|NO|'superadmin'::character varying|50|||
admin_users|9|totp_secret_enc|text|YES|||||
admin_users|10|session_epoch|integer|NO|0||32|0|
admin_users|11|must_change_password|boolean|NO|false||||
admin_users|12|totp_required|boolean|NO|false||||
admin_users|13|created_by|character varying|YES||255|||
alert_checkpoints|1|id|uuid|NO|gen_random_uuid()||||
alert_checkpoints|2|alert_id|uuid|NO|||||
alert_checkpoints|3|broker_account_id|uuid|NO|||||
alert_checkpoints|4|trigger_symbol|character varying|YES||100|||
alert_checkpoints|5|trigger_exchange|character varying|YES||20|||
alert_checkpoints|6|trigger_instrument_type|character varying|YES||20|||
alert_checkpoints|7|trigger_quantity|integer|YES|||32|0|
alert_checkpoints|8|trigger_direction|character varying|YES||10|||
alert_checkpoints|9|trigger_avg_entry_price|numeric|YES|||15|4|
alert_checkpoints|10|trigger_capital_at_risk|numeric|YES|||15|4|
alert_checkpoints|11|trigger_instrument_token|bigint|YES|||64|0|
alert_checkpoints|12|user_exited_quantity|integer|YES|0||32|0|
alert_checkpoints|13|user_exit_price|numeric|YES|||15|4|
alert_checkpoints|14|user_exit_time|timestamp with time zone|YES|||||6
