# gathered 2026-09-04T10:45:39.851483+00:00
table|name|type|definition|ondelete|onupdate|references
admin_audit_log|admin_audit_log_pkey|b'p'|PRIMARY KEY (id)|b' '|b' '|-
admin_login_events|admin_login_events_admin_id_fkey|b'f'|FOREIGN KEY (admin_id) REFERENCES admin_users(id) ON DELETE CASCADE|b'c'|b'a'|admin_users
admin_login_events|admin_login_events_pkey|b'p'|PRIMARY KEY (id)|b' '|b' '|-
admin_settings|admin_settings_pkey|b'p'|PRIMARY KEY (key)|b' '|b' '|-
admin_users|admin_users_pkey|b'p'|PRIMARY KEY (id)|b' '|b' '|-
admin_users|admin_users_email_key|b'u'|UNIQUE (email)|b' '|b' '|-
alert_checkpoints|alert_checkpoints_alert_id_fkey|b'f'|FOREIGN KEY (alert_id) REFERENCES risk_alerts(id) ON DELETE CASCADE|b'c'|b'a'|risk_alerts
alert_checkpoints|alert_checkpoints_broker_account_id_fkey|b'f'|FOREIGN KEY (broker_account_id) REFERENCES broker_accounts(id) ON DELETE CASCADE|b'c'|b'a'|broker_accounts
alert_checkpoints|alert_checkpoints_pkey|b'p'|PRIMARY KEY (id)|b' '|b' '|-
alert_mutes|alert_mutes_broker_account_id_fkey|b'f'|FOREIGN KEY (broker_account_id) REFERENCES broker_accounts(id) ON DELETE CASCADE|b'c'|b'a'|broker_accounts
alert_mutes|alert_mutes_pkey|b'p'|PRIMARY KEY (broker_account_id, pattern_type)|b' '|b' '|-
behavior_events|behavior_events_broker_account_id_fkey1|b'f'|FOREIGN KEY (broker_account_id) REFERENCES broker_accounts(id) ON DELETE CASCADE|b'c'|b'a'|broker_accounts
behavior_events|behavior_events_risk_alert_id_fkey1|b'f'|FOREIGN KEY (risk_alert_id) REFERENCES risk_alerts(id) ON DELETE SET NULL|b'n'|b'a'|risk_alerts
behavior_events|behavior_events_trigger_completed_trade_id_fkey1|b'f'|FOREIGN KEY (trigger_completed_trade_id) REFERENCES completed_trades(id) ON DELETE SET NULL|b'n'|b'a'|completed_trades
behavior_events_default|behavior_events_broker_account_id_fkey1|b'f'|FOREIGN KEY (broker_account_id) REFERENCES broker_accounts(id) ON DELETE CASCADE|b'c'|b'a'|broker_accounts
behavior_events_default|behavior_events_risk_alert_id_fkey1|b'f'|FOREIGN KEY (risk_alert_id) REFERENCES risk_alerts(id) ON DELETE SET NULL|b'n'|b'a'|risk_alerts
behavior_events_default|behavior_events_trigger_completed_trade_id_fkey1|b'f'|FOREIGN KEY (trigger_completed_trade_id) REFERENCES completed_trades(id) ON DELETE SET NULL|b'n'|b'a'|completed_trades
behavior_events_legacy|behavior_events_broker_account_id_fkey|b'f'|FOREIGN KEY (broker_account_id) REFERENCES broker_accounts(id) ON DELETE CASCADE|b'c'|b'a'|broker_accounts
behavior_events_legacy|behavior_events_risk_alert_id_fkey|b'f'|FOREIGN KEY (risk_alert_id) REFERENCES risk_alerts(id) ON DELETE SET NULL|b'n'|b'a'|risk_alerts
behavior_events_legacy|behavior_events_trigger_completed_trade_id_fkey|b'f'|FOREIGN KEY (trigger_completed_trade_id) REFERENCES completed_trades(id) ON DELETE SET NULL|b'n'|b'a'|completed_trades
behavior_events_legacy|behavior_events_legacy_pkey|b'p'|PRIMARY KEY (id)|b' '|b' '|-
behavior_events_y2026m07|behavior_events_broker_account_id_fkey1|b'f'|FOREIGN KEY (broker_account_id) REFERENCES broker_accounts(id) ON DELETE CASCADE|b'c'|b'a'|broker_accounts
behavior_events_y2026m07|behavior_events_risk_alert_id_fkey1|b'f'|FOREIGN KEY (risk_alert_id) REFERENCES risk_alerts(id) ON DELETE SET NULL|b'n'|b'a'|risk_alerts
