# gathered 2026-09-04T10:45:39.919826+00:00
table|index|definition|scans|tup_read|bytes
admin_audit_log|admin_audit_log_pkey|CREATE UNIQUE INDEX admin_audit_log_pkey ON public.admin_audit_log USING btree (id)|0|0|16384
admin_audit_log|idx_admin_audit_log_action|CREATE INDEX idx_admin_audit_log_action ON public.admin_audit_log USING btree (action)|0|0|16384
admin_audit_log|idx_admin_audit_log_admin|CREATE INDEX idx_admin_audit_log_admin ON public.admin_audit_log USING btree (admin_email)|0|0|16384
admin_audit_log|idx_admin_audit_log_created|CREATE INDEX idx_admin_audit_log_created ON public.admin_audit_log USING btree (created_at DESC)|2|2|16384
admin_login_events|admin_login_events_pkey|CREATE UNIQUE INDEX admin_login_events_pkey ON public.admin_login_events USING btree (id)|0|0|8192
admin_login_events|idx_admin_login_events_admin_time|CREATE INDEX idx_admin_login_events_admin_time ON public.admin_login_events USING btree (admin_id, created_at DESC)|0|0|8192
admin_settings|admin_settings_pkey|CREATE UNIQUE INDEX admin_settings_pkey ON public.admin_settings USING btree (key)|30|33|16384
admin_users|admin_users_email_key|CREATE UNIQUE INDEX admin_users_email_key ON public.admin_users USING btree (email)|0|0|16384
admin_users|admin_users_pkey|CREATE UNIQUE INDEX admin_users_pkey ON public.admin_users USING btree (id)|0|0|16384
admin_users|idx_admin_users_email|CREATE INDEX idx_admin_users_email ON public.admin_users USING btree (email)|0|0|16384
admin_users|idx_admin_users_role|CREATE INDEX idx_admin_users_role ON public.admin_users USING btree (role)|0|0|16384
alert_checkpoints|alert_checkpoints_pkey|CREATE UNIQUE INDEX alert_checkpoints_pkey ON public.alert_checkpoints USING btree (id)|0|0|16384
alert_checkpoints|idx_ac_alert_id|CREATE INDEX idx_ac_alert_id ON public.alert_checkpoints USING btree (alert_id)|0|0|16384
alert_checkpoints|idx_ac_broker|CREATE INDEX idx_ac_broker ON public.alert_checkpoints USING btree (broker_account_id)|0|0|16384
alert_checkpoints|idx_ac_broker_created|CREATE INDEX idx_ac_broker_created ON public.alert_checkpoints USING btree (broker_account_id, created_at DESC)|0|0|16384
alert_checkpoints|idx_alert_checkpoints_alert_id|CREATE INDEX idx_alert_checkpoints_alert_id ON public.alert_checkpoints USING btree (alert_id)|0|0|16384
