# gathered 2026-09-04T10:45:39.950491+00:00
table|trigger|definition
holdings|update_holdings_updated_at|CREATE TRIGGER update_holdings_updated_at BEFORE UPDATE ON public.holdings FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
instruments|update_instruments_updated_at|CREATE TRIGGER update_instruments_updated_at BEFORE UPDATE ON public.instruments FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
journal_entries|trigger_journal_entries_updated_at|CREATE TRIGGER trigger_journal_entries_updated_at BEFORE UPDATE ON public.journal_entries FOR EACH ROW EXECUTE FUNCTION update_journal_entries_updated_at()
orders|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_default|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_default FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2026m02|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2026m02 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2026m03|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2026m03 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2026m04|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2026m04 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2026m05|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2026m05 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2026m06|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2026m06 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2026m07|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2026m07 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2026m08|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2026m08 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2026m09|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2026m09 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2026m10|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2026m10 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2026m11|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2026m11 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2026m12|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2026m12 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2027m01|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2027m01 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2027m02|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2027m02 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2027m03|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2027m03 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2027m04|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2027m04 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2027m05|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2027m05 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2027m06|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2027m06 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2027m07|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2027m07 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2027m08|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2027m08 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2027m09|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2027m09 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2027m10|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2027m10 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2027m11|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2027m11 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
orders_y2027m12|update_orders_updated_at|CREATE TRIGGER update_orders_updated_at BEFORE UPDATE ON public.orders_y2027m12 FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
push_subscriptions|trigger_push_subscriptions_updated_at|CREATE TRIGGER trigger_push_subscriptions_updated_at BEFORE UPDATE ON public.push_subscriptions FOR EACH ROW EXECUTE FUNCTION update_push_subscriptions_updated_at()
user_profiles|trigger_user_profiles_updated_at|CREATE TRIGGER trigger_user_profiles_updated_at BEFORE UPDATE ON public.user_profiles FOR EACH ROW EXECUTE FUNCTION update_user_profiles_updated_at()
