# gathered 2026-09-04T10:45:39.988969+00:00
table|seq_scan|seq_tup|idx_scan|ins|upd|del|live|dead|vac|autovac|analyze
admin_audit_log|3|9|2|3|0|0|3|0|||
admin_login_events|3|0|0|0|0|0|0|0|||
admin_settings|3|0|30|2|0|2|0|2|||
admin_users|4|4|0|0|0|0|0|0|||
alert_checkpoints|30826|31256|0|430|0|215|1|16||2026-09-03 19:06:49.470670+00:00|
alert_mutes|3|3|57750|0|0|0|0|0|||
audit_log_entries|0|0|0|0|0|0|0|0|||
behavior_events|0|0|0|0|0|0|0|0|||
behavior_events_default|64158|135607|96673|42405|0|42407|0|0||2026-09-03 10:35:47.253369+00:00|
behavior_events_legacy|38981|0|13691|0|0|0|0|0|||
behavior_events_y2026m07|50555|7330475|48434|0|0|0|0|0|||
behavior_events_y2026m08|99075|112|393|100|0|100|0|23||2026-08-29 17:49:37.425071+00:00|
behavior_events_y2026m09|63203|62|36605|88|0|88|0|37||2026-09-02 16:32:57.446884+00:00|
behavior_events_y2026m10|39817|0|59990|0|0|0|0|0|||
behavior_events_y2026m11|9984|0|13600|0|0|0|0|0|||
behavior_events_y2026m12|9984|0|13600|0|0|0|0|0|||
behavior_events_y2027m01|9984|0|13600|0|0|0|0|0|||
behavior_events_y2027m02|9984|0|13600|0|0|0|0|0|||
behavior_events_y2027m03|9984|0|13600|0|0|0|0|0|||
behavior_events_y2027m04|9984|0|13600|0|0|0|0|0|||
behavior_events_y2027m05|9984|0|13600|0|0|0|0|0|||
behavior_events_y2027m06|9984|0|13600|0|0|0|0|0|||
behavior_events_y2027m07|9984|0|13600|0|0|0|0|0|||
behavior_events_y2027m08|9984|0|13600|0|0|0|0|0|||
behavior_events_y2027m09|9984|0|13600|0|0|0|0|0|||
behavior_events_y2027m10|9984|0|13600|0|0|0|0|0|||
behavior_events_y2027m11|9984|0|13600|0|0|0|0|0|||
behavior_events_y2027m12|9984|0|13600|0|0|0|0|0|||
behavioral_events|39631|5270923|17482|215|0|0|133|62||2026-09-01 14:38:46.219873+00:00|
broadcast_logs|3|0|0|0|0|0|0|0|||
broadcast_receipts|3|0|0|0|0|0|0|0|||
broker_accounts|716|3240979|384348|39535|0|13691|3|0||2026-09-04 09:03:27.488234+00:00|
buckets|0|0|100|0|0|0|0|0|||
buckets_analytics|0|0|0|0|0|0|0|0|||
buckets_vectors|0|0|0|0|0|0|0|0|||
coach_sessions|3|15|13691|0|0|0|0|0|||
commitment_logs|219|0|13691|0|0|0|0|0|||
completed_trade_features|56487|101920|66|16595|0|15345|0|18||2026-09-04 07:20:22.779817+00:00|
completed_trades|17|41702|360368|96448|0|22498|202|81||2026-09-04 08:59:27.036075+00:00|
constitution_history|8|21|13702|5|0|4|1|4|||
cooldowns|90|19140|64989|215|0|215|215|40||2026-09-02 14:14:50.924081+00:00|
custom_oauth_providers|0|0|0|0|0|0|0|0|||
data_quality_events|3|0|15036|0|0|0|0|0|||
detector_flags|2026|0|0|0|0|0|0|0|||
discipline_scores|5|0|13691|0|0|0|0|0|||
discipline_streaks|4|0|13691|0|0|0|0|0|||
flow_state|0|0|0|0|0|0|0|0|||
generated_reports|4|0|13691|0|0|0|0|0|||
gtt_tracking|4|0|30871|0|0|0|0|0|||
guardrail_rules|3|6|13691|0|0|0|0|0|||
holdings|219|0|13691|0|0|0|0|0|||
identities|0|0|0|0|0|0|0|0|||
incomplete_positions|13910|139100|0|0|0|0|0|0|||
instances|0|0|0|0|0|0|0|0|||
instruments|1|166222|219|0|0|0|0|0|||
journal_entries|231|168446|16082|1290|0|1320|20|6||2026-09-04 08:57:27.436047+00:00|
margin_snapshots|106|29574|25024|215|0|0|279|4||2026-09-04 06:24:20.222556+00:00|
messages|0|0|0|0|0|0|0|0|||
