# gathered 2026-09-04T10:45:40.013318+00:00
filename|checksum|applied_by|applied_at|note
003_goals_tables.sql|7d684fb2be3b12a5|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
004_push_subscriptions.sql|7f69a6473b771b66|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
004b_update_positions_table.sql|0b5c27b9bc9c1e86|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
005_add_segment_support.sql|2b4444b7a1f5257c|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
006_journal_entries.sql|8c9ce131cb453768|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
007_user_profiles.sql|7a722121f889465d|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
008_cooldowns.sql|eff6eb965750b00d|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
009_kite_api_alignment.sql|a954d44872458c69|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
010_new_kite_tables.sql|96177d7a498e8066|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
011_margin_history.sql|dffa57a776c80c2c|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
012_vector_embeddings.sql|cfb04d533854a960|skip|2026-09-03 09:02:56.561726+00:00|RAG is not part of production readiness: rag_service is reachable but every call site try/excepts, so RAG has never worked. Enabling it is a feature decision (pgvector, an embedding provider, a backfill), not a forgotten migration.
013_add_broker_account_id_to_holdings.sql|16cf749f6049a15f|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
014_add_guardian_daily_summary_to_user_profiles.sql|1b18eb3b7695c0c7|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
016_fix_all_missing_columns.sql|41068edf275a0e06|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
017_add_cascade_delete.sql|67b242256dd14377|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
018_fix_data_types.sql|68ef962430590915|skip|2026-09-03 09:07:40.470175+00:00|NOT APPLIED (verified 2026-09-03: trades.price is numeric(10,2), 018 wants (15,4)). Its widening was ABANDONED - the SQLAlchemy models declare Numeric(10,2), which the live DB matches, so applying 018 would make the database disagree with the ORM. The one part still diverging, push_subscriptions.failed_count being varchar where the model says Integer, is fixed by 087 instead.
019_standardize_symbols.sql|7a453b050fd9eaeb|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
020_trade_architecture_overhaul.sql|81ee129d677a873c|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
021_add_missing_indexes.sql|d724e6801336bb5d|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
022_cascade_indexes_datetime.sql|a942f9174bffac57|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
023_add_segment_column.sql|12b5ed073d688009|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
024_token_revocation.sql|da201ecd09625aee|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
025_add_ai_cache.sql|831c3fda76986cb8|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
027_add_report_timing_columns.sql|9dc66133494858a0|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
028_add_threshold_fields.sql|982a6f13187920b1|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
029_alert_checkpoints.sql|86bfb6b9263cd5f8|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
030_fix_journal_trade_fk.sql|a1afeae751bf5c7b|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
031_add_timestamp_indexes.sql|1261c9400dda8717|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
032_users_table.sql|e6cdaeb944f0d61b|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
033_fix_schema_issues.sql|14dfceb42131e0ef|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
034_fix_alert_checkpoints_columns.sql|5119d2b57e525dac|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
035_data_integrity.sql|c5c1df9cfa131a41|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
036_position_ledger.sql|6337a2c7f486f084|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
037_trading_sessions.sql|3e57047c4de59348|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
038_alert_state_machine.sql|4d967f6a5e6a3afe|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
039_behavioral_event_context.sql|480b360265b12d65|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
040_shadow_behavioral_events.sql|763fcfa142acc01a|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
041_coach_sessions.sql|3f4f65a50e8af693|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
042_portfolio_radar.sql|f5940e40785436d6|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
043_performance_indexes.sql|8a36b116e2e172a2|skip|2026-09-03 09:02:58.605173+00:00|Superseded except for one index on behavioral_events, which is frozen (133 rows, last write 2026-04-15, no live reader or writer). 4 of 5 missing indexes are covered by equivalents under other names.
044_missing_indexes.sql|2fa48ace64a38aa1|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
045_journal_structured_fields.sql|1d20ae276169802c|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
046_strategy_groups.sql|3d4e9168681d30cb|adopt|2026-09-03 06:55:25.749051+00:00|verified against live schema 2026-09-03: tables, columns, indexes and constraints all present
