# gathered 2026-09-04T10:45:40.100973+00:00
table|rls_enabled|rls_forced|policy_count
admin_audit_log|False|False|0
admin_login_events|True|False|0
admin_settings|True|False|0
admin_users|False|False|0
alert_checkpoints|False|False|0
alert_mutes|True|False|0
behavior_events|True|False|0
behavior_events_default|False|False|0
behavior_events_legacy|True|False|0
behavior_events_y2026m07|False|False|0
behavior_events_y2026m08|False|False|0
behavior_events_y2026m09|False|False|0
behavior_events_y2026m10|False|False|0
behavior_events_y2026m11|False|False|0
behavior_events_y2026m12|False|False|0
behavior_events_y2027m01|False|False|0
behavior_events_y2027m02|False|False|0
behavior_events_y2027m03|False|False|0
behavior_events_y2027m04|False|False|0
behavior_events_y2027m05|False|False|0
behavior_events_y2027m06|False|False|0
behavior_events_y2027m07|False|False|0
behavior_events_y2027m08|False|False|0
behavior_events_y2027m09|False|False|0
behavior_events_y2027m10|False|False|0
behavior_events_y2027m11|False|False|0
behavior_events_y2027m12|False|False|0
behavioral_events|False|False|0
broadcast_logs|True|False|0
broadcast_receipts|True|False|0
broker_accounts|False|False|0
coach_sessions|False|False|0
commitment_logs|False|False|0
completed_trade_features|False|False|0
completed_trades|False|False|0
constitution_history|True|False|0
cooldowns|False|False|0
data_quality_events|True|False|0
detector_flags|True|False|0
discipline_scores|False|False|0
discipline_streaks|False|False|0
generated_reports|False|False|0
gtt_tracking|True|False|0
guardrail_rules|False|False|0
holdings|False|False|0
incomplete_positions|False|False|0
instruments|False|False|0
journal_entries|False|False|0
margin_snapshots|False|False|0
monthly_snapshots|True|False|0
oauth_temp_store|True|False|0
orders|True|False|0
orders_default|False|False|0
orders_y2026m02|False|False|0
orders_y2026m03|False|False|0
orders_y2026m04|False|False|0
orders_y2026m05|False|False|0
orders_y2026m06|False|False|0
orders_y2026m07|False|False|0
orders_y2026m08|False|False|0
orders_y2026m09|False|False|0
orders_y2026m10|False|False|0
orders_y2026m11|False|False|0
orders_y2026m12|False|False|0
orders_y2027m01|False|False|0
orders_y2027m02|False|False|0
orders_y2027m03|False|False|0
orders_y2027m04|False|False|0
orders_y2027m05|False|False|0
orders_y2027m06|False|False|0
orders_y2027m07|False|False|0
orders_y2027m08|False|False|0
orders_y2027m09|False|False|0
orders_y2027m10|False|False|0
orders_y2027m11|False|False|0
orders_y2027m12|False|False|0
portfolio_chat_sessions|False|False|0
position_alerts_sent|False|False|0
position_ledger|False|False|0
position_margin_observations|True|False|0
positions|False|False|0
push_subscriptions|False|False|0
risk_alerts|False|False|0
schema_migrations|False|False|0
shadow_behavioral_events|False|False|0
strategy_group_legs|False|False|0
strategy_groups|False|False|0
streak_data|False|False|0
trades|False|False|0
trading_goals|False|False|0
trading_sessions|False|False|0
user_profiles|False|False|0
users|False|False|0
