# gathered 2026-09-04T10:45:40.123403+00:00
table|exact_rows_ONLY
admin_audit_log|3
admin_login_events|0
admin_settings|0
admin_users|1
alert_checkpoints|1
alert_mutes|1
behavior_events|0
behavior_events_default|0
behavior_events_legacy|0
behavior_events_y2026m07|145
behavior_events_y2026m08|0
behavior_events_y2026m09|0
behavior_events_y2026m10|0
behavior_events_y2026m11|0
behavior_events_y2026m12|0
behavior_events_y2027m01|0
behavior_events_y2027m02|0
behavior_events_y2027m03|0
behavior_events_y2027m04|0
behavior_events_y2027m05|0
behavior_events_y2027m06|0
behavior_events_y2027m07|0
behavior_events_y2027m08|0
behavior_events_y2027m09|0
behavior_events_y2027m10|0
behavior_events_y2027m11|0
behavior_events_y2027m12|0
behavioral_events|133
broadcast_logs|0
broadcast_receipts|0
broker_accounts|3
coach_sessions|5
commitment_logs|0
completed_trade_features|0
completed_trades|112
constitution_history|3
cooldowns|215
data_quality_events|0
detector_flags|0
discipline_scores|0
discipline_streaks|0
generated_reports|0
gtt_tracking|0
guardrail_rules|2
holdings|0
incomplete_positions|10
instruments|166222
journal_entries|20
margin_snapshots|279
monthly_snapshots|0
oauth_temp_store|1
orders|0
orders_default|0
orders_y2026m02|0
orders_y2026m03|0
orders_y2026m04|0
orders_y2026m05|0
orders_y2026m06|0
orders_y2026m07|0
orders_y2026m08|0
orders_y2026m09|0
orders_y2026m10|0
orders_y2026m11|0
orders_y2026m12|0
orders_y2027m01|0
orders_y2027m02|0
orders_y2027m03|0
orders_y2027m04|0
orders_y2027m05|0
orders_y2027m06|0
orders_y2027m07|0
orders_y2027m08|0
orders_y2027m09|0
orders_y2027m10|0
orders_y2027m11|0
orders_y2027m12|0
portfolio_chat_sessions|1
position_alerts_sent|0
position_ledger|100
position_margin_observations|0
positions|99
push_subscriptions|1
risk_alerts|57
schema_migrations|91
shadow_behavioral_events|0
strategy_group_legs|0
strategy_groups|0
streak_data|1
trades|318
trading_goals|1
trading_sessions|9
user_profiles|3
users|3
